API Name,Display Name,Memory GiB,vCPUs,Supports EKS
#TODO Does EKS supports all instance types, not just those shown in the GUI?
r5a.4xlarge,R5A Quadruple Extra Large,128,16,TRUE
r5a.8xlarge,R5A Eight Extra Large,256,32,
r5a.large,R5A Large,16,2,TRUE
r5a.xlarge,R5A Extra Large,32,4,TRUE
r5ad.12xlarge,R5AD 12xlarge,384,48,
r5ad.24xlarge,R5AD 24xlarge,768,96,
r5ad.2xlarge,R5AD Double Extra Large,64,8,
r5ad.4xlarge,R5AD Quadruple Extra Large,128,16,
r5ad.large,R5AD Large,16,2,
r5ad.xlarge,R5AD Extra Large,32,4,
r5d.12xlarge,R5D 12xlarge,384,48,
r5d.16xlarge,R5D 16xlarge,512,64,
r5d.24xlarge,R5D 24xlarge,768,96,
r5d.2xlarge,R5D Double Extra Large,64,8,
r5d.4xlarge,R5D Quadruple Extra Large,128,16,true
r5d.8xlarge,R5D Eight Extra Large,256,32,
r5d.large,R5D Large,16,2,
r5d.metal,R5D Metal,768,96,
r5d.xlarge,R5D Extra Large,32,4,
r5dn.12xlarge,R5DN 12xlarge,384,48,
r5dn.16xlarge,R5DN 16xlarge,512,64,
r5dn.24xlarge,R5DN 24xlarge,768,96,
r5dn.2xlarge,R5DN Double Extra Large,64,8,
r5dn.4xlarge,R5DN Quadruple Extra Large,128,16,
r5dn.8xlarge,R5DN Eight Extra Large,256,32,
r5dn.large,R5DN Large,16,2,
r5dn.metal,R5DN Metal,768,96,
r5dn.xlarge,R5DN Extra Large,32,4,
r5n.12xlarge,R5N 12xlarge,384,48,
r5n.16xlarge,R5N 16xlarge,512,64,
r5n.24xlarge,R5N 24xlarge,768,96,
r5n.2xlarge,R5N Double Extra Large,64,8,
r5n.4xlarge,R5N Quadruple Extra Large,128,16,
r5n.8xlarge,R5N Eight Extra Large,256,32,
r5n.large,R5N Large,16,2,
r5n.metal,R5N Metal,768,96,
r5n.xlarge,R5N Extra Large,32,4,
t1.micro,T1 Micro,0.613,1,
t2.2xlarge,T2 Double Extra Large,32,8,
t2.large,T2 Large,8,2,
t2.medium,T2 Medium,4,2,
t2.micro,T2 Micro,1,1,
t2.nano,T2 Nano,0.5,1,
t2.small,T2 Small,2,1,
t2.xlarge,T2 Extra Large,16,4,
t3.2xlarge,T3 Double Extra Large,32,8,
t3.large,T3 Large,8,2,
t3.medium,T3 Medium,4,2,TRUE
t3.micro,T3 Micro,1,2,TRUE
t3.nano,T3 Nano,0.5,2,
t3.small,T3 Small,2,2,TRUE
t3.xlarge,T3 Extra Large,16,4,TRUE
t3a.2xlarge,T3A Double Extra Large,32,8,TRUE
t3a.large,T3A Large,8,2,TRUE
t3a.medium,T3A Medium,4,2,TRUE
t3a.micro,T3A Micro,1,2,TRUE
t3a.nano,T3A Nano,0.5,2,
t3a.small,T3A Small,2,2,TRUE
t3a.xlarge,T3A Extra Large,16,4,TRUE
u-12tb1.metal,U-12TB1 Metal,12288,448,
u-18tb1.metal,U-18TB1 Metal,18432,448,
u-24tb1.metal,U-24TB1 Metal,24576,448,
u-6tb1.metal,U-6TB1 Metal,6144,448,
u-9tb1.metal,U-9TB1 Metal,9216,448,
x1.16xlarge,X1 Extra High-Memory 16xlarge,976,64,
x1.32xlarge,X1 Extra High-Memory 32xlarge,1952,128,
x1e.16xlarge,X1E 16xlarge,1952,64,
x1e.2xlarge,X1E Double Extra Large,244,8,
x1e.32xlarge,X1E 32xlarge,3904,128,
x1e.4xlarge,X1E Quadruple Extra Large,488,16,
x1e.8xlarge,X1E Eight Extra Large,976,32,
x1e.xlarge,X1E Extra Large,122,4,
z1d.12xlarge,Z1D 12xlarge,384,48,
z1d.2xlarge,Z1D Double Extra Large,64,8,
z1d.3xlarge,Z1D 3xlarge,96,12,
z1d.6xlarge,Z1D 6xlarge,192,24,
z1d.large,Z1D Large,16,2,
z1d.metal,Z1D Metal,384,48,
z1d.xlarge,Z1D Extra Large,32,4,
